Asset ID,Existing file path,Scene using it,Current placeholder type,Required final asset,Required dimensions,Transparency requirements,Visual states,Required separated layers,Animation requirements,Audio requirements,Replacement priority,Whether replacement can occur without altering gameplay logic,Classification
DEFENCE_LOCATION_SET,autoload/defence_manager.gd; no art paths,defence,Five events represented only by text,Five residence-specific defence scene layer sets,1440x1600 source; 720x800 runtime each,Yes for actors/effects,Preparation/attack/success/failure/damaged,Environment; barricades; survivors; Hollow; traps; lighting; foreground,Full defence visual sequence,defence music; warning; impacts; Hollow; result,Critical,Yes; observe existing event result,Critical
DIALOGUE_ENVIRONMENT_SET,data/dialogue/*.tres; no environment art mapping,dialogue,Black background and flattened intro concept only,Original dialogue backgrounds/foregrounds for intro rescues and Signal Keeper beats,1440x2560 source; 720x1280 runtime,Layer PNGs yes,Per dialogue location/time/weather,Background; midground; character plane; foreground; lighting,Slow parallax; weather; light/radio effects,dialogue ambience; radio; stingers,Critical,Yes; visual mapping by existing dialogue IDs,Critical
CONCEPT_MARA,assets/concepts/vertical_slice/characters/mara_vale_character_sheet_concept.png,not runtime,Flattened approved concept,Retain as reference; derive layered production art,1536x1024 existing,N/A,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_NOAH,assets/concepts/vertical_slice/characters/noah_vance_character_sheet_concept.png,not runtime,Flattened approved concept,Retain as reference; derive layered production art,1536x1024 existing,N/A,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_DRIFTER,assets/concepts/vertical_slice/enemies/drifter_concept_sheet.png,not runtime,Flattened approved concept,Retain as reference; derive runtime sprites/rig,1536x1024 existing,N/A,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_HOLLOW_CREEK_1,assets/concepts/vertical_slice/environments/hollow_creek_stage_1_concept.png,not runtime,Flattened portrait concept,Retain as composition reference; rebuild layered production scene,841x1870 existing,No,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_HOLLOW_CREEK_2,assets/concepts/vertical_slice/environments/hollow_creek_stage_2_concept.png,not runtime,Flattened portrait concept,Retain as progression reference; rebuild layered production scene,841x1871 existing,No,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_CONSTRUCTION,assets/concepts/vertical_slice/items/construction_chain_concept.png,not runtime,Flattened item sheet,Retain as progression reference; produce individual alpha icons,1774x887 existing,No,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_TOOL_CRATE,assets/concepts/vertical_slice/items/salvaged_tool_crate_states_concept.png,not runtime,Flattened producer-state sheet,Retain as state reference; produce separated alpha states,1823x863 existing,No,Reference only,None,None,None,Medium,Yes,Medium
CONCEPT_WINDOW_STORYBOARD,assets/concepts/vertical_slice/animation/window_boarding_storyboard_concept.png,not runtime,Flattened 10-panel storyboard,Retain as timing reference; create real layered animation,1672x941 existing,No,Ten storyboard beats,None,None,construction foley reference,Medium,Yes,Medium
CONCEPT_INTRO,assets/concepts/vertical_slice/dialogue/intro_farmhouse_approach_concept.png,not runtime,Flattened dialogue composition,Retain as composition reference; create separated runtime layers,841x1870 existing,No,Reference only,None,None,dialogue ambience reference,Medium,Yes,Medium
